Sentiment,Text
pos,call leader help protect refuge covid19 provid qualiti health care
pos,ogun state support cbn nirsal covid19 target credit facil tcf
pos,polic offici base namahadi polic station busi drink liquor certain tavern whilst duti
neg,taiwan vice presid chen chien jen countri fight covid19
neg,break new york woman symptom die last week prescrib drug cocktail known 
pos,doctor friend deliv babi crisi told interest data larg nyc area hospit
neg,covid19 attack almost anyth bodi devast consequ feroc breathtak humbl
pos,prevent key know simpl step take today protect
neg,wallac pelosi also downplay covid19 presid underplay threat earli day speaker pel
neg,iphrc condemn unrel viciou campaign malign muslim spread
neg,le british peopl kill day circa time number dead uk covid19 ne
neg,treatment mortal rate track destroy medic system given flu season 
pos,mila launch quarantin wine profit go covid19 relief effort
neg,covid19 alberta doctor slam provinc shoddi mask
neg,touch funk akindel releas statement import maintain social distanc fight aga
neg,let get straight conspir china mislead covid19 trump threaten defund provid
neg,know covid19 hoax set nwo asleep sheep follow anyth medium tel
neg,nation treasuri respons covid19 pandem cut across sector health water etc far ksh di
pos,produc set resourc design use school parent carer support home lea
neg,casino open lawsuit covid19 cluster trace
neg,covid19 diabet man dy lack food medicin delhi quarantin centr moham musthafa resid coimbator
pos,share kati sweet famili need help ever covid19 relief coelh
pos,great meet today discu ongo respons covid19 grate 
pos,let clear covid19 test late april trump could mani test want admit
neg,news point item list ppe kit use medic staff fight covid19 va offer
pos,uofl develop technolog believ block novel coronaviru infect human cell uofl research hope fa
neg,rocket scienc simpli math next week lost american covid19 week 
neg,dhanyawad creat person bodyguard everi indian fight covid19 
pos,one sent home without pay billionair work line pocket yet ceo
pos,doubt deni sever intens realiti covid19 wish could look eye
neg,ekiti record first covid19 death new mother thecabl
neg,interview one book fear citizen happen la vega stay
pos,today daili elain major suprem court decis juri verdict may offer clue justic
pos,stewart say proud vancouv resid follow order help flatten curv outb
pos,control british govern respons covid19 great articl via
pos,public compani took covid19 loan meant small busi admit feder respons screw
neg,must solo run govt exit plan wind public health restrict consult agreem
neg,warn come greek author announc peopl test posit lock migrant hotel cou
neg,sever punish challeng measur covid19
neg,covid19 test temporarili suspend kano bc staff test posit test kit got finish heal
neg,go depth hell le grand even pay life trump di
pos,exchang view covid19 pandem pm thank support care extend
pos,good news ton peopl contact news help veteran evict landlord bad news
pos,good straight forward read
pos,write stori lost pandem gut honor get know someon
neg,fire bone covid19 victori danc news around
