,Date,Original_Tweet,Clean_Tweet,Sentiment
0,2020-04-19,RT @GlblCtzn: .@priyankachopra is calling on leaders to help protect refugees from COVID-19 by providing them with quality health care and…,call leader help protect refuge covid19 provid qualiti health care,0.7962236169975001
1,2020-04-19,RT @OGSG_Official: OGUN STATE SUPPORT FOR CBN-NIRSAL COVID-19 TARGETED CREDIT FACILITY - TCF https://t.co/koWBQECoQq,ogun state support cbn nirsal covid19 target credit facil tcf,0.7277090997925625
2,2020-04-19,"RT @AdvoBarryRoux: These 5 police officials based at Namahadi police station were busy drinking liquor at a certain tavern whilst on duty,…",polic offici base namahadi polic station busi drink liquor certain tavern whilst duti,0.7124613029056869
3,2020-04-19,"RT @MobilePunch: COVID-19: Oyo discharges two patients
https://t.co/eQRE00ZiJo",covid19 oyo discharg two patient,0.2593882659995974
4,2020-04-19,My Condolences to the Family of those who did not survive #Covid_19!,condol famili surviv,0.1969418074942149
5,2020-04-19,RT @DrJMZimmerman: I received this text from my 19 year old son who is working with COVID patients. To those who equate quarantine with com…,receiv text year old son work covid19 patient equat quarantin com,0.767046131624189
6,2020-04-19,Taiwan's Vice-President Chen Chien-jen on his country's fight with Covid-19  https://t.co/SmdtNFAFZf,taiwan vice presid chen chien jen countri fight covid19,0.24797462768463138
7,2020-04-19,RT @morethanmySLE: BREAKING: A New York woman with #coronavirus symptoms died last week after being prescribed a drug cocktail with known c…,break new york woman symptom die last week prescrib drug cocktail known ,0.746903318469558
8,2020-04-19,Horrible tragedy in Nova Scotia today. How will these families get closure during the pandemic? Will there be funer… https://t.co/okGy9PfPZB,horribl tragedi nova scotia today famili get closur pandem funer,0.24494765814001587
9,2020-04-19,"@TahirsyeedK @sagarikaghose Covid-19 can be cured sooner or later,but who will cure the Ghose virus ?",covid19 cure sooner later cure ghose viru,0.2982248753256834
10,2020-04-19,RT @JoeNBC: January 22nd:  “We have it totally under control. It’s one person coming in from China. We have it under control. It’s going to…,januari nd total control one person come china control go,0.19762010247624093
11,2020-04-19,"RT @BuckSexton: Doctor friend who is delivering babies during this crisis told me very interesting data from 2 large nyc area hospitals:

T…",doctor friend deliv babi crisi told interest data larg nyc area hospit,0.1831272562207045
12,2020-04-19,RT @KatiePhang: “‘[COVID-19] can attack almost anything in the body with devastating consequences.  Its ferocity is breathtaking and humbli…,covid19 attack almost anyth bodi devast consequ feroc breathtak humbl,0.750348908851466
13,2020-04-19,RT @ClevelandClinic: Prevention is key. Know the simple steps you can take today to protect yourself from #COVID19 https://t.co/BKDX2NsMX2…,prevent key know simpl step take today protect,0.29908607708255724
14,2020-04-19,RT @SaharaReporters: BREAKING: Jigawa Records First COVID-19 Case | Sahara Reporters https://t.co/XUkSsnCp77,break jigawa record first covid19 case sahara report,0.29310377006639765
15,2020-04-19,"RT @JoeConchaTV: Wallace to Pelosi on her also downplaying COVID-19: If the president underplayed the threat in the early days, Speaker Pel…",wallac pelosi also downplay covid19 presid underplay threat earli day speaker pel,0.2826556567139979
16,2020-04-19,RT @OIC_IPHRC: 1/2 #OIC-IPHRC condemns the unrelenting vicious #Islamophobic campaign in #India  maligning Muslims for spread of #COVID-19…,iphrc condemn unrel viciou campaign malign muslim spread,0.30843781799159187
17,2020-04-22,"RT @Always_a_Yes: Less than 3000 British People were killed on D-Day.
Circa 10 times that number will be dead in the UK from COVID-19 by ne…",le british peopl kill day circa time number dead uk covid19 ne,0.3017287710079354
18,2020-04-22,@ronnieClarke69 @SkySportsNews Tails between their legs and then opened the stadium up to be used as a covid 19 tes… https://t.co/J9zOGb873q,tail leg open stadium use covid19 te,0.7406387858909418
19,2020-04-22,"RT @COsweda: The TREATMENT--not the mortality rate--was on track to destroying our medical system.

During any given flu season, about 10 p…",treatment mortal rate track destroy medic system given flu season ,0.2806150706204556
