id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GlblCtzn: .@priyankachopra is calling on leaders to help protect refugees from COVID-19 by providing them with quality health care and…,calling leaders help protect refugees COVID-19 providing quality health care and…,en,0,31,RJIshak,,"GlblCtzn, priyankachopra",Jakarta Capital Region,call leader help protect refuge covid19 provid qualiti health care,0.8176,0.0,0.452,0.548,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OGSG_Official: OGUN STATE SUPPORT FOR CBN-NIRSAL COVID-19 TARGETED CREDIT FACILITY - TCF https://t.co/koWBQECoQq,OGUN STATE SUPPORT FOR CBN-NIRSAL COVID-19 TARGETED CREDIT FACILITY TCF,en,0,61,makinwaoluwole,,OGSG_Official,Nigeria,ogun state support cbn nirsal covid19 target credit facil tcf,0.6486,0.0,0.602,0.398,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AdvoBarryRoux: These 5 police officials based at Namahadi police station were busy drinking liquor at a certain tavern whilst on duty,…",These police officials based Namahadi police station busy drinking liquor certain tavern whilst duty …,en,0,1,TembeAmu,,AdvoBarryRoux,,polic offici base namahadi polic station busi drink liquor certain tavern whilst duti,0.2732,0.0,0.851,0.149,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MobilePunch: COVID-19: Oyo discharges two patients
https://t.co/eQRE00ZiJo",COVID-19 Oyo discharges two patients,en,0,0,ilyasrabiu,,MobilePunch,"Lagos, Nigeria",covid19 oyo discharg two patient,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",My Condolences to the Family of those who did not survive #Covid_19!,My Condolences Family survive,en,0,13869,bucketeconomist,Covid_19,,,condol famili surviv,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrJMZimmerman: I received this text from my 19 year old son who is working with COVID patients. To those who equate quarantine with com…,I received text year old son working COVID patients To equate quarantine com…,en,0,526,rohaniroop,,DrJMZimmerman,"British Columbia, Canada",receiv text year old son work covid19 patient equat quarantin com,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Taiwan's Vice-President Chen Chien-jen on his country's fight with Covid-19  https://t.co/SmdtNFAFZf,Taiwan 's Vice-President Chen Chien-jen country 's fight Covid-19,en,0,119,agostinhozinga,,,"London, England",taiwan vice presid chen chien jen countri fight covid19,-0.3818,0.245,0.755,0.0,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @morethanmySLE: BREAKING: A New York woman with #coronavirus symptoms died last week after being prescribed a drug cocktail with known c…,BREAKING A New York woman symptoms died last week prescribed drug cocktail known c…,en,0,474,DrJeffreyPOlson,coronavirus,morethanmySLE,JPO Aesthetics,break new york woman symptom die last week prescrib drug cocktail known ,-0.5994,0.262,0.738,0.0,neg
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Horrible tragedy in Nova Scotia today. How will these families get closure during the pandemic? Will there be funer… https://t.co/okGy9PfPZB,Horrible tragedy Nova Scotia today How families get closure pandemic Will funer…,en,0,23,MichelleCarbert,,,"Ottawa, Ontario",horribl tragedi nova scotia today famili get closur pandem funer,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@TahirsyeedK @sagarikaghose Covid-19 can be cured sooner or later,but who will cure the Ghose virus ?",Covid-19 cured sooner later cure Ghose virus,en,0,6,Deshbha21624810,,"TahirsyeedK, sagarikaghose",,covid19 cure sooner later cure ghose viru,0.0,0.0,1.0,0.0,neu
